"id","backers","parentCat","duration","goal","raised","faqs","comments","description.length"
604,36,"Film & Video",35,4000,4216,0,2,7420
605,104,"Film & Video",30,9280,9305.67,1,4,988
606,16,"Film & Video",30,2500,2511,0,0,1702
607,15,"Music",33,200,240,0,3,761
608,4,"Art",30,15,62,0,0,2234
609,42,"Music",50.04166667,2500,2520.66,0,0,1883
610,34,"Fashion",30,1500,1555,0,8,787
611,9,"Film & Video",40,4500,126,0,0,1544
612,8,"Film & Video",42.76623843,2000,585,0,0,1259
613,8,"Film & Video",30,4500,260,0,0,1801
614,793,"Film & Video",61,20000,52175.12,1,42,6380
615,47,"Film & Video",89.95895833,5000,5021,0,1,1215
616,51,"Film & Video",30,5000,5362,3,0,2399
617,3,"Games",30,1293,27,0,0,2066
618,53,"Film & Video",30,6000,6050,0,2,18843
619,9,"Film & Video",59.85721065,3500,298,0,0,1513
620,8,"Music",30,4200,763,0,0,5048
621,9,"Film & Video",30,8000,276,0,0,5274
622,1,"Games",30,250,3,0,0,276
623,73,"Games",45,10000,1902.34,1,13,11927
624,40,"Games",30,20000,1633,0,15,5478
625,65,"Games",30,20000,2438.66,5,13,4332
626,61,"Photography",15.76412037,2300,3345,0,10,1500
627,227,"Comics",60,9000,10029.99,8,66,4412
628,133,"Film & Video",39.55300926,12000,14257.5,0,8,5080
629,28,"Film & Video",45,500,1240,0,0,1316
630,36,"Music",30,15000,19460,3,0,6401
631,70,"Film & Video",30.04166667,15000,6619,0,0,2938
632,4,"Photography",60.95833333,3000,240,0,0,2999
633,0,"Publishing",30.04166667,5000,0,0,0,1183
634,13,"Photography",60.79606481,3000,650,0,0,1102
635,117,"Film & Video",27.43665509,7000,8299,1,11,4011
636,31,"Theater",31,3500,8930,0,0,3706
637,70,"Theater",15.63232639,1800,2681.32,0,0,2330
638,36,"Photography",31,1000,1310,0,0,2911
639,28,"Art",13.27396991,1300,2512,0,6,1661
640,47,"Music",29.95833333,4000,4428,0,0,2602
641,50,"Film & Video",31.32792824,3000,3101,0,6,961
642,58,"Art",60.95833333,4000,4230,0,0,2502
643,29,"Film & Video",90,2000,2115,0,1,1248
644,38,"Art",21,2500,2576,0,0,4976
645,18,"Dance",27.3231713,2500,2550,0,1,2946
646,55,"Art",30,100,609,5,1,1887
647,218,"Games",38.85949074,3500,13541,1,85,2234
648,82,"Publishing",45,2000,2102,3,1,971
649,62,"Film & Video",36.54775463,5000,6705,0,1,2669
650,78,"Dance",30,3000,5558,0,1,1728
651,3,"Art",30,1700,60,0,0,1031
652,21,"Film & Video",30,2000,2061,0,5,900
653,43,"Film & Video",35,2000,2047,0,2,965
654,6,"Publishing",30,5500,211,0,0,821
655,10,"Dance",40,3000,850,0,0,1735
656,0,"Comics",30,7000,0,0,0,1502
657,36,"Music",25.45383102,7500,4272,0,0,4354
658,39,"Film & Video",30.04166667,2250,2740,0,1,2082
659,80,"Publishing",30,3000,5796,0,6,4126
660,6,"Theater",7.148125,500,525,0,0,595
661,84,"Music",72.19548611,11000,12058,0,0,2156
662,51,"Music",30,750,915,0,6,793
663,526,"Games",30,10000,34134.29,10,220,3876
664,45,"Film & Video",35.38640046,6500,6526,0,1,1448
665,108,"Art",30,2500,3600.11,0,7,2985
666,120,"Music",30,6000,6700,0,8,975
667,164,"Film & Video",60,25000,27602,0,3,7316
668,594,"Design",34.13269676,22000,44140,1,34,3441
669,6,"Publishing",30.04166667,500,176,0,0,2271
670,5,"Film & Video",30.04166667,24000,1185,2,0,1753
671,10,"Photography",25.04166667,3500,295,0,0,884
672,2,"Technology",30.04166667,15000,60,0,0,2333
673,60,"Publishing",30,4000,4281,0,0,1241
674,1126,"Games",30.44128472,20000,140058,5,3033,13022
675,0,"Film & Video",30.04166667,1e+06,0,0,0,830
676,1,"Publishing",30.04166667,3500,20,0,0,819
677,5,"Fashion",30.04166667,800,294,0,3,704
678,266,"Art",32.96678241,10000,11051.55,4,9,3335
679,35,"Publishing",25,3500,3646,0,0,6769
680,65,"Film & Video",30,4500,4646,0,3,3343
681,182,"Publishing",35,20000,23406.69,3,2,8883
682,0,"Art",45,500,0,0,0,3745
683,5,"Film & Video",42.08010417,3500,155,0,1,1266
684,158,"Theater",30,8000,8326,0,3,5787
685,3,"Film & Video",21,4000,120,0,0,876
686,2,"Theater",30,15000,150,0,0,1309
687,6,"Publishing",30,1100,112,0,1,3289
688,14,"Film & Video",90.04166667,3000,1285,0,0,665
689,0,"Fashion",45,1000,0,0,0,324
690,125,"Games",36.04166667,25000,7545.85,1,3,3189
691,208,"Art",49.04166667,1e+05,7884,0,10,1984
692,305,"Technology",30.04166667,15000,128917,3,82,21242
693,26,"Film & Video",30.04166667,50000,8955,0,0,5378
694,136,"Design",33.04166667,20000,27133,1,2,3872
695,21,"Art",30.04166667,950,700,1,3,2304
696,82,"Design",30.04166667,2e+05,66210,5,4,5444
697,106,"Design",32.36155093,80000,10780,3,20,2412
698,98,"Technology",30.04166667,70000,15213,4,0,2520
699,87,"Food",30.04166667,2000,6800,4,0,4950
700,31,"Publishing",51.6025463,20000,1524,0,2,2563
701,73,"Music",40,5000,5515,0,13,900
702,17,"Music",30.30295139,500,560,0,0,792
703,184,"Film & Video",30,1000,3522.11,6,5,3115
704,497,"Comics",30,4500,15537.5,2,25,3315
705,20,"Comics",20,300,576,1,6,846
706,60,"Games",60.04166667,5120,1063,0,6,5478
707,2,"Design",25,28000,198,0,3,7998
708,299,"Film & Video",39.13929398,17500,20420.44,0,12,7420
709,1,"Publishing",30,20000,1,0,0,2696
710,3,"Art",87.14259259,2500,135,0,0,1631
711,35,"Film & Video",56.95194444,14500,1640,0,11,3
712,11,"Games",60,65000,1083,0,5,4568
713,46,"Film & Video",30.47380787,2000,2617.26,0,0,3844
714,18,"Publishing",30,750,775,2,0,919
715,67,"Theater",27,4000,4021.03,10,3,2416
716,104,"Dance",42.95777778,6000,8185,0,6,3531
717,3,"Publishing",45.71189815,7500,175,5,0,1747
718,238,"Technology",30,5000,12264,2,22,7159
719,5,"Technology",29.95833333,5000,87,1,0,3221
720,1,"Music",34.2165162,6000,100,0,1,2090
721,3,"Art",30,6000,65,0,0,4844
722,11,"Food",36.36622685,3500,787,0,2,1125
723,0,"Film & Video",30,5000,0,0,0,1420
724,72,"Publishing",33.80965278,5000,5232,1,5,4277
725,7,"Fashion",8.937974537,250,280,0,2,1364
726,12,"Fashion",19.22532407,350,433,0,1,1280
727,14,"Theater",13.82130787,500,642.97,0,0,1114
728,33,"Film & Video",89.96135417,5000,6099,0,0,2287
729,36,"Fashion",30,8500,1543.2,7,1,6262
730,11,"Fashion",30,1500,315,0,0,1498
731,17,"Music",46.47320602,20000,845,0,2,2746
732,0,"Film & Video",31.94136574,800,0,0,0,1638
733,34,"Publishing",50,1000,1157,0,6,3273
734,21,"Music",13.46849537,500,549,0,2,1399
735,139,"Theater",30,5000,5125.84,0,3,2944
736,0,"Music",44.95833333,4500,0,1,0,942
737,59,"Music",21.04166667,2800,3549,0,0,6587
738,201,"Art",54.16112269,30000,36377,1,25,4726
739,34,"Theater",30.97145833,800,921.01,0,1,1588
740,38,"Music",25,2500,3340,0,0,2729
741,11,"Music",30,500,500,0,0,1192
742,5,"Music",28.89194444,10000,1112,0,1,1529
743,0,"Music",29.95833333,500,0,0,0,1436
744,0,"Art",13.06428241,6250,0,0,0,1962
745,265,"Film & Video",45,8500,10005,0,11,3068
746,201,"Food",89.2853588,15000,16405,0,30,1559
747,143,"Film & Video",40.45768519,10000,11336,0,1,4073
748,38,"Dance",30,3000,3075,0,2,4541
